phone,result,feedback
021234567,official,กสทช.
027654321,official,สำนักงานตำรวจ
1333,official,หน่วยงานราชการ
1175,official,AIS
191,official,ตำรวจ/เหตุด่วนเหตุร้าย
199,official,ดับเพลิง/แจ้งเหตุไฟไหม้
1669,official,สถาบันการแพทย์ฉุกเฉิน
1155,official,ตำรวจท่องเที่ยว
1586,official,กรมทางหลวง
1193,official,ตำรวจทางหลวง
1543,official,กรมทางพิเศษแห่งประเทศไทย/ทางด่วน
1300,official,ศูนย์ช่วยเหลือสังคม/แจ้งคนหาย
1111,official,ศูนย์รับเรื่องราวร้องทุกข์ของรัฐบาล
1506,official,สำนักงานประกันสังคม
1166,official,สำนักงานคณะกรรมการคุ้มครองผู้บริโภค (สคบ.)
1186,official,สายด่วนประกันภัย (คปภ.)
1330,official,สำนักงานหลักประกันสุขภาพแห่งชาติ (สปสช.)
1130,official,การไฟฟ้านครหลวง (กฟน.)
1129,official,การไฟฟ้าส่วนภูมิภาค (กฟภ.)
1125,official,การประปานครหลวง (กปน.)
1662,official,การประปาส่วนภูมิภาค (กปภ.)
1192,official,ศูนย์ปราบปรามการโจรกรรมรถ/แจ้งรถหาย
1195,official,กองปราบปราม (คดีร้ายแรง)
1567,official,ศูนย์ดำรงธรรม
1672,official,การท่องเที่ยวแห่งประเทศไทย (ททท.)
1323,official,สายด่วนสุขภาพจิต
1644,official,สถานีวิทยุ สวพ.91 (ข้อมูลจราจร)
1137,official,สถานีวิทยุ จส.100 (ข้อมูลจราจร)
1784,official,กรมป้องกันและบรรเทาสาธารณภัย
1164,official,กรมศุลกากร
1767,official,กรมพัฒนาธุรกิจการค้า
1182,official,ศูนย์บริการข่าวอากาศ กรมอุตุนิยมวิทยา
1428,official,ธนาคารทหารไทยธนชาต (ttb)
1572,official,ธนาคารกรุงศรีอยุธยา
1621,official,พรูเด็นเชียล ประกันชีวิต
1146,official,ศูนย์ความปลอดภัย กรมทางหลวงชนบท
1165,official,สายด่วนยาเสพติด กรมการแพทย์
1171,official,สำนักงานคณะกรรมการการเลือกตั้ง (กกต.)
1177,official,ศูนย์บริการรับแจ้งโทรศัพท์ขัดข้อง
1196,official,ตำรวจน้ำ/แจ้งอุบัติเหตุทางน้ำ
1197,official,ศูนย์ควบคุมและสั่งการจราจร ตำรวจ
1199,official,ศูนย์ปลอดภัยทางน้ำ (กรมเจ้าท่า)
1355,official,สายด่วนศาลปกครอง
1356,official,ศูนย์ปลอดภัยคมนาคม
1362,official,กรมอุทยานแห่งชาติ สัตว์ป่า และพันธุ์พืช
1367,official,ศูนย์พิษวิทยา โรงพยาบาลรามาธิบดี
1374,official,กองอำนวยการรักษาความมั่นคงภายในราชอาณาจักร (กอ.รมน.)
1385,official,กรมการค้าต่างประเทศ
1441,official,ศูนย์ปฏิบัติการแก้ไขปัญหาอาชญากรรมออนไลน์ (AOC)
1484,official,เมืองไทยประกันภัย
1554,official,หน่วยแพทย์กู้ชีวิต วชิรพยาบาล
1555,official,หน่วยแพทย์กู้ชีพกรุงเทพมหานคร/ศูนย์ร้องทุกข์กรุงเทพฯ
1556,official,สายด่วนองค์การอาหารและยา (อย.)
1579,official,กระทรวงศึกษาธิการ
1646,official,หน่วยแพทย์ฉุกเฉิน (กทม.) / ศูนย์เอราวัณ
1650,official,กรมควบคุมมลพิษ / ศูนย์สนับสนุนการปฏิบัติการฉุกเฉินสารเคมี
1690,official,การรถไฟแห่งประเทศไทย
1691,official,ศูนย์ส่งกลับและรถพยาบาล โรงพยาบาลตำรวจ
1694,official,กรมการจัดหางาน
1736,official,ทิพยประกันภัย
1748,official,นวกิจประกันภัย
